Source,Country,Year,Azithromycin_pct_resistant,Azithromycin_num_resistant,Azithromycin_num_tested,Cefixime_pct_resistant,Cefixime_num_resistant,Cefixime_num_tested,Ciprofloxacin_pct_resistant,Ciprofloxacin_num_resistant,Ciprofloxacin_num_tested,Ceftriaxone_pct_resistant,Ceftriaxone_num_resistant,Ceftriaxone_num_tested
Kuluratne,South Africa,2008,4.3,10,233,NA,NA,0,26.1,88.22,338,0,0,338
Kuluratne,South Africa,2009,NA,NA,0,0,0,324,28.17,91.27,324,0.6,2,324
Kuluratne,South Africa,2010,NA,NA,0,0,0,316,31.19,98.57,316,0,0,316
GASP 2009-2020,South Africa,2011,NA,NA,0,NA,NA,0,NA,NA,0,0,0,120
Kuluratne,South Africa,2012,0,0,70,0,0,297,36.98,110.2,298,0,0,298
Kuluratne,South Africa,2013,0,0,31,0,0,294,45.19,132.87,294,0,0,294
GASP 2009-2020,South Africa,2013,NA,NA,0,0,0,120,0,0,120,NA,NA,0
Kuluratne,South Africa,2014,0,0,77,0.4,1,249,51.15,116.61,228,0,0,228
Kuluratne,South Africa,2015,0,0,93,0,0,235,61.2,143.82,235,0,0,235
GASP 2009-2020,South Africa,2015,0,0,185,0,0,201,64.32,119,185,0,0,201
Kuluratne,South Africa,2016,0,0,125,0,0,137,69.1,93.98,136,0,0,136
GASP 2009-2020,South Africa,2016,0,0,271,0,0,309,71.22,193,271,0,0,309
Kuluratne,South Africa,2017,0,0,113,0,0,128,74.04,178.44,241,0,0,135
GASP 2009-2020,South Africa,2017,0,0,274,NA,NA,0,NA,NA,NA,0,0,286
Kuluratne,South Africa,2018,0,0,122,0,0,128,NA,NA,NA,0,0,128
GASP 2009-2020,South Africa,2018,0,0,163,0,0,167,NA,NA,NA,0,0,167
GASP 2019-2022,South Africa,2019,0,0,225,0.44,1,227,NA,NA,NA,0,0,227
GASP 2009-2020,South Africa,2020,0,0,316,NA,NA,0,NA,NA,NA,0,0,316
GASP 2019-2022,South Africa,2020,0,0,316,0,0,316,NA,NA,NA,0,0,316
GASP 2019-2022,South Africa,2021,0.79,4,504,0,0,510,NA,NA,NA,0,0,510
GASP 2019-2022,South Africa,2022,1.39,5,359,0,0,362,NA,NA,NA,0,0,362
GASP 2023,South Africa,2023,2.6,9,341,0,0,341,NA,NA,NA,0,0,341
GASP 2009-2020,Burkina Faso,2019,3.9,2,52,NA,NA,0,NA,NA,0,0,0,52
GASP 2009-2020,Burkina Faso,2018-2019,3.85,2,52,0,0,52,94.23,49,52,0,0,52
GASP 2009-2020,Cote d'Ivoire,2009,NA,NA,0,NA,NA,0,NA,NA,0,0,0,10
GASP 2009-2020,Cote d'Ivoire,2010,NA,NA,0,NA,NA,0,NA,NA,0,0,0,12
GASP 2009-2020,Cote d'Ivoire,2013,13.89,5,36,NA,NA,0,86.11,31,36,0,0,36
GASP 2009-2020,Cote d'Ivoire,2014,11.59,8,69,0,0,69,53.62,37,69,NA,NA,0
GASP 2009-2020,Cote d'Ivoire,2015,11.59,8,69,0,0,69,76.81,53,69,0,0,69
GASP 2009-2020,Cote d'Ivoire,2016,2,1,50,0,0,50,82,41,50,0,0,50
GASP 2009-2020,Cote d'Ivoire,2017,6.6,3,45,0,0,45,75.5,34,45,0,0,45
GASP 2009-2020,Cote d'Ivoire,2018,0,0,30,0,0,30,80,24,30,0,0,30
GASP 2009-2020,Cote d'Ivoire,2020,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
GASP 2009-2020,Ethiopia,2021-2022,0,0,299,0,0,299,97,290,299,0,0,299
GASP 2009-2020,Ghana,2011,NA,NA,0,NA,NA,0,100,13,13,NA,NA,0
GASP 2009-2020,Kenya,2018,5.3,5.088,96,0,0,96,39.6,38,96,0,0,96
GASP 2009-2020,Kenya,2014,11.27,16.0034,142,0,0,42,61.9,26,42,NA,NA,0
GASP 2009-2020,Kenya,2011,NA,NA,0,NA,NA,0,77.78,7,9,NA,NA,0
GASP 2009-2020,Kenya,2010,0,0,154,0,0,154,NA,NA,0,NA,NA,0
GASP 2009-2020,Kenya,2009,0,0,142,NA,NA,0,53.25,82,154,NA,NA,0
GASP 2009-2020,Madagascar,2019,1.89,1,53,NA,NA,0,100,77,77,2.82,2,71
GASP 2009-2020,Madagascar,2018,0,0,26,NA,NA,0,100,82,82,1.23,1,81
GASP 2009-2020,Madagascar,2017,2.63,1,38,NA,NA,0,93.18,41,44,2.5,1,40
GASP 2009-2020,Madagascar,2016,0,0,35,NA,NA,0,100,35,35,2.86,1,35
GASP 2009-2020,Malawi,2019-2022,NA,NA,0,NA,NA,0,57.14,88,154,NA,NA,0
GASP 2009-2020,Malawi,2020,0,0,126,0,0,126,NA,NA,0,0,0,126
GASP 2009-2020,Malawi,2016,12.59,52,413,0,0,413,73.85,305,413,92.01,380,413
GASP 2009-2020,Mauritius,2021,NA,NA,0,0,0,30,93.33,28,30,0,0,30
