Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,<200 ,<100 , <500,,<500 ,<100 , <500,,<500 ,<100 , 560,,<500 ,<200 , 720,,<500 ,<200 , 860,,580 ,<500 , 1100,,680 ,<500 , 1300,,780 ,<500 , 1500,,890 ,<500 , 1800,,1000 ,<500 , 2100,,1100 ,540 , 2200,,1200 ,610 , 2600,,1400 ,700 , 3100,,1600 ,830 , 3700,,1800 ,910 , 4400,,2000 ,990 , 5300,,2300 ,1100 , 5900,,2500 ,1200 , 6600,,2800 ,1300 , 7600,,3100 ,1400 , 8800,,3400 ,1500 , 10 000,,3800 ,1600 , 12 000,,4200 ,1700 , 13 000,,4600 ,1800 , 15 000,,5100 ,1900 , 18 000,,5600 ,2100 , 20 000,,6100 ,2200 , 23 000,,6700 ,2400 , 27 000,,7300 ,2500 , 29 000,,7900 ,2700 , 31 000,,8700 ,2900 , 35 000,,9200 ,3000 , 39 000,,9800 ,3200 , 44 000,,11 000 ,3200 , 51 000,,12 000 ,3200 , 58 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",520 ,<500 , 600,"Children estimates were not available at the time of publication.",570 ,<500 , 660,"Children estimates were not available at the time of publication.",630 ,510 , 720,"Children estimates were not available at the time of publication.",690 ,560 , 780,"Children estimates were not available at the time of publication.",740 ,600 , 830,"Children estimates were not available at the time of publication.",790 ,640 , 900,"Children estimates were not available at the time of publication.",840 ,680 , 950,"Children estimates were not available at the time of publication.",880 ,710 , 990,"Children estimates were not available at the time of publication.",920 ,740 , 1000,"Children estimates were not available at the time of publication.",960 ,770 , 1100,"Children estimates were not available at the time of publication.",1000 ,810 , 1100,"Children estimates were not available at the time of publication.",1000 ,850 , 1200,"Children estimates were not available at the time of publication.",1100 ,880 , 1300,"Children estimates were not available at the time of publication.",1100 ,920 , 1300,"Children estimates were not available at the time of publication."
Algeria,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,520 ,<500 , 570,,610 ,540 , 670,,710 ,640 , 780,,840 ,750 , 910,,990 ,890 , 1100,,1200 ,1100 , 1300,,1400 ,1300 , 1500,,1700 ,1500 , 1800,,1900 ,1800 , 2100,,2300 ,2100 , 2400,,2700 ,2400 , 2800,,3100 ,2800 , 3300,,3600 ,3300 , 3900,,4100 ,3700 , 4400,,4700 ,4200 , 5100,,5200 ,4700 , 5700,,5700 ,5100 , 6200,,6100 ,5500 , 6600,,6500 ,5900 , 7000,,6900 ,6300 , 7400,,7300 ,6600 , 7900,,7700 ,7000 , 8500,,8300 ,7500 , 9000,,8800 ,8000 , 9700,,9500 ,8500 , 10 000,,10 000 ,9100 , 11 000,,11 000 ,9700 , 12 000,,12 000 ,11 000 , 14 000,,13 000 ,11 000 , 15 000,,14 000 ,12 000 , 16 000,,15 000 ,13 000 , 18 000,
Angola,9800 ,5500 , 16 000,,12 000 ,6900 , 19 000,,14 000 ,8200 , 21 000,,16 000 ,9900 , 24 000,,18 000 ,12 000 , 26 000,,20 000 ,14 000 , 28 000,,23 000 ,16 000 , 31 000,,25 000 ,19 000 , 33 000,,28 000 ,21 000 , 35 000,,30 000 ,23 000 , 38 000,,33 000 ,25 000 , 41 000,,35 000 ,27 000 , 43 000,,37 000 ,30 000 , 46 000,,40 000 ,32 000 , 49 000,,43 000 ,35 000 , 52 000,,45 000 ,38 000 , 54 000,,48 000 ,41 000 , 57 000,,51 000 ,44 000 , 60 000,,54 000 ,47 000 , 63 000,,57 000 ,50 000 , 66 000,,60 000 ,53 000 , 70 000,,64 000 ,56 000 , 73 000,,67 000 ,58 000 , 77 000,,70 000 ,61 000 , 80 000,,72 000 ,63 000 , 83 000,,74 000 ,65 000 , 86 000,,77 000 ,68 000 , 89 000,,79 000 ,70 000 , 91 000,,81 000 ,71 000 , 93 000,,83 000 ,73 000 , 95 000,,84 000 ,74 000 , 96 000,,85 000 ,75 000 , 97 000,,86 000 ,76 000 , 98 000,,87 000 ,77 000 , 99 000,,88 000 ,78 000 , 100 000,
Antigua and Barbuda,<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , 510,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,12 000 ,10 000 , 14 000,,15 000 ,13 000 , 17 000,,18 000 ,15 000 , 20 000,,21 000 ,17 000 , 23 000,,23 000 ,20 000 , 26 000,,26 000 ,22 000 , 29 000,,28 000 ,24 000 , 31 000,,30 000 ,25 000 , 33 000,,32 000 ,27 000 , 35 000,,34 000 ,29 000 , 38 000,,37 000 ,31 000 , 40 000,,39 000 ,33 000 , 43 000,,42 000 ,35 000 , 45 000,,44 000 ,38 000 , 48 000,,46 000 ,40 000 , 50 000,,49 000 ,42 000 , 53 000,,51 000 ,44 000 , 55 000,,53 000 ,46 000 , 58 000,,56 000 ,48 000 , 61 000,,58 000 ,51 000 , 63 000,,60 000 ,53 000 , 66 000,,62 000 ,55 000 , 68 000,,65 000 ,57 000 , 71 000,,67 000 ,59 000 , 73 000,,69 000 ,61 000 , 76 000,,71 000 ,63 000 , 78 000,,74 000 ,65 000 , 80 000,,76 000 ,67 000 , 83 000,,78 000 ,69 000 , 85 000,,80 000 ,71 000 , 88 000,,82 000 ,73 000 , 90 000,,84 000 ,74 000 , 92 000,,86 000 ,76 000 , 94 000,,88 000 ,78 000 , 96 000,,89 000 ,79 000 , 98 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , 590,,520 ,<500 , 750,,660 ,<500 , 930,,820 ,590 , 1100,,990 ,740 , 1300,,1200 ,900 , 1500,,1400 ,1100 , 1800,,1600 ,1300 , 2000,,1800 ,1500 , 2200,,2000 ,1700 , 2500,,2300 ,1900 , 2700,,2500 ,2200 , 3000,,2800 ,2400 , 3200,,3000 ,2600 , 3600,,3300 ,2800 , 4000,,3600 ,3000 , 4300,,3800 ,3100 , 4700,,4200 ,3300 , 5300,,4500 ,3600 , 6100,,4800 ,3700 , 6800,
Australia,9600 ,9300 , 10 000,,9700 ,9300 , 10 000,,9500 ,9100 , 10 000,,9300 ,8800 , 9800,,9000 ,8500 , 9500,,8600 ,8100 , 9200,,8600 ,8100 , 9200,,8900 ,8400 , 9500,,9400 ,8800 , 10 000,,9900 ,9200 , 11 000,,10 000 ,9700 , 11 000,,11 000 ,10 000 , 12 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,13 000 , 16 000,,15 000 ,14 000 , 17 000,,16 000 ,15 000 , 17 000,,17 000 ,15 000 , 18 000,,18 000 ,16 000 , 19 000,,18 000 ,17 000 , 20 000,,19 000 ,17 000 , 21 000,,20 000 ,18 000 , 22 000,,20 000 ,19 000 , 22 000,,21 000 ,19 000 , 23 000,,22 000 ,20 000 , 24 000,,23 000 ,21 000 , 25 000,,23 000 ,21 000 , 26 000,,24 000 ,22 000 , 27 000,,25 000 ,22 000 , 27 000,,25 000 ,22 000 , 28 000,,26 000 ,23 000 , 29 000,,26 000 ,23 000 , 29 000,,26 000 ,23 000 , 30 000,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , 550,"Children estimates were not available at the time of publication.",<500 ,<500 , 780,"Children estimates were not available at the time of publication.",730 ,<500 , 1100,"Children estimates were not available at the time of publication.",1100 ,610 , 1600,"Children estimates were not available at the time of publication.",1500 ,900 , 2300,"Children estimates were not available at the time of publication.",2000 ,1300 , 3000,"Children estimates were not available at the time of publication.",2600 ,1700 , 3700,"Children estimates were not available at the time of publication.",3300 ,2100 , 4500,"Children estimates were not available at the time of publication.",3800 ,2600 , 5200,"Children estimates were not available at the time of publication.",4300 ,3100 , 5800,"Children estimates were not available at the time of publication.",4700 ,3500 , 6300,"Children estimates were not available at the time of publication.",5100 ,3900 , 6700,"Children estimates were not available at the time of publication.",5300 ,4200 , 7000,"Children estimates were not available at the time of publication.",5500 ,4400 , 7000,"Children estimates were not available at the time of publication.",5700 ,4500 , 7100,"Children estimates were not available at the time of publication.",5800 ,4700 , 7300,"Children estimates were not available at the time of publication.",6000 ,4800 , 7400,"Children estimates were not available at the time of publication.",6000 ,4900 , 7400,"Children estimates were not available at the time of publication.",6100 ,5000 , 7400,"Children estimates were not available at the time of publication.",6200 ,5000 , 7500,"Children estimates were not available at the time of publication.",6200 ,5100 , 7600,"Children estimates were not available at the time of publication.",6300 ,5200 , 7600,"Children estimates were not available at the time of publication.",6300 ,5300 , 7500,"Children estimates were not available at the time of publication.",6400 ,5400 , 7500,"Children estimates were not available at the time of publication.",6500 ,5500 , 7600,"Children estimates were not available at the time of publication.",6600 ,5600 , 7700,"Children estimates were not available at the time of publication.",6700 ,5800 , 7800,"Children estimates were not available at the time of publication.",6800 ,5900 , 7900,"Children estimates were not available at the time of publication.",6800 ,5900 , 7900,"Children estimates were not available at the time of publication.",6900 ,6000 , 8000,"Children estimates were not available at the time of publication.",7000 ,6000 , 8100,"Children estimates were not available at the time of publication.",7100 ,6000 , 8300,"Children estimates were not available at the time of publication."
