measure,location,sex,year,val,upper,lower
incidence_per_1000_uninfected,ETH,SEX_FMLE,2002,0.99,1.9,0.58
incidence_per_1000_uninfected,RWA,SEX_MLE,2009,1.0,1.4,0.86
incidence_per_1000_uninfected,MDG,SEX_FMLE,2018,0.22,0.31,0.16
incidence_per_1000_uninfected,COG,SEX_BTSX,1994,3.3,4.1,2.8
incidence_per_1000_uninfected,AGO,SEX_MLE,2022,0.39,0.47,0.32
incidence_per_1000_uninfected,SEN,SEX_BTSX,2018,0.11,0.12,0.1
incidence_per_1000_uninfected,STP,SEX_MLE,2001,,,
incidence_per_1000_uninfected,BDI,SEX_MLE,2016,0.16,0.23,0.1
incidence_per_1000_uninfected,TGO,SEX_FMLE,2006,1.6,2.0,1.3
incidence_per_1000_uninfected,MDG,SEX_BTSX,2020,0.27,0.39,0.19
incidence_per_1000_uninfected,GIN,SEX_MLE,2017,0.6,0.78,0.47
incidence_per_1000_uninfected,GNQ,SEX_BTSX,2018,,,
incidence_per_1000_uninfected,MLI,SEX_BTSX,1991,1.5,2.2,1.0
incidence_per_1000_uninfected,RWA,SEX_MLE,2021,0.19,0.31,0.13
incidence_per_1000_uninfected,AGO,SEX_FMLE,2016,1.2,1.5,1.0
incidence_per_1000_uninfected,AGO,SEX_MLE,2021,0.43,0.53,0.35
incidence_per_1000_uninfected,COM,SEX_MLE,1990,0.1,0.1,0.01
incidence_per_1000_uninfected,COG,SEX_MLE,2016,1.2,1.6,0.89
incidence_per_1000_uninfected,LBR,SEX_MLE,2016,,,
incidence_per_1000_uninfected,NER,SEX_MLE,2019,0.1,0.1,0.1
incidence_per_1000_uninfected,GNB,SEX_FMLE,2023,0.6,0.93,0.37
incidence_per_1000_uninfected,LSO,SEX_MLE,1999,16.8,19.7,14.8
incidence_per_1000_uninfected,CMR,SEX_FMLE,1999,5.3,6.0,4.6
incidence_per_1000_uninfected,GAB,SEX_FMLE,2007,3.0,3.9,2.4
incidence_per_1000_uninfected,BFA,SEX_MLE,1997,1.2,1.5,0.99
incidence_per_1000_uninfected,TGO,SEX_MLE,2004,1.5,1.9,1.2
incidence_per_1000_uninfected,TZA,SEX_BTSX,2016,2.1,2.5,1.9
incidence_per_1000_uninfected,MWI,SEX_FMLE,2010,4.9,5.6,4.4
incidence_per_1000_uninfected,SSD,SEX_FMLE,2018,0.89,1.2,0.65
incidence_per_1000_uninfected,BEN,SEX_BTSX,2009,0.47,0.59,0.38
incidence_per_1000_uninfected,MDG,SEX_FMLE,2011,0.17,0.22,0.13
incidence_per_1000_uninfected,GNB,SEX_BTSX,1997,3.7,4.5,2.7
incidence_per_1000_uninfected,ZMB,SEX_MLE,1996,9.1,10.3,8.1
incidence_per_1000_uninfected,DZA,SEX_MLE,1992,0.01,0.01,0.01
incidence_per_1000_uninfected,CIV,SEX_BTSX,2003,2.6,3.1,2.2
incidence_per_1000_uninfected,NAM,SEX_MLE,1997,11.6,13.5,10.4
incidence_per_1000_uninfected,ZWE,SEX_FMLE,2017,2.6,3.4,2.2
incidence_per_1000_uninfected,SWZ,SEX_MLE,1999,22.1,25.1,20.1
incidence_per_1000_uninfected,SEN,SEX_BTSX,2008,0.2,0.22,0.18
incidence_per_1000_uninfected,COM,SEX_MLE,2017,0.1,0.1,0.01
incidence_per_1000_uninfected,MUS,SEX_BTSX,1990,,,
incidence_per_1000_uninfected,SSD,SEX_BTSX,1999,1.9,2.7,1.3
incidence_per_1000_uninfected,TZA,SEX_MLE,2006,2.1,2.5,1.9
incidence_per_1000_uninfected,SLE,SEX_BTSX,2004,1.2,1.4,1.0
incidence_per_1000_uninfected,NER,SEX_FMLE,2011,0.1,0.11,0.1
incidence_per_1000_uninfected,BDI,SEX_FMLE,1993,2.7,4.3,1.8
incidence_per_1000_uninfected,COM,SEX_BTSX,1990,0.1,0.1,0.01
incidence_per_1000_uninfected,CMR,SEX_FMLE,2013,1.4,1.8,1.2
incidence_per_1000_uninfected,LSO,SEX_MLE,1992,10.6,13.2,8.6
incidence_per_1000_uninfected,LBR,SEX_MLE,1996,,,
incidence_per_1000_uninfected,BWA,SEX_BTSX,1997,23.7,25.8,22.0
incidence_per_1000_uninfected,BEN,SEX_MLE,2021,0.1,0.15,0.1
incidence_per_1000_uninfected,RWA,SEX_MLE,1991,3.9,5.0,2.9
incidence_per_1000_uninfected,COG,SEX_MLE,2022,1.2,1.8,0.69
incidence_per_1000_uninfected,DZA,SEX_BTSX,2005,0.1,0.1,0.1
incidence_per_1000_uninfected,NAM,SEX_MLE,2004,7.9,9.3,7.1
incidence_per_1000_uninfected,TZA,SEX_FMLE,1999,4.2,4.7,3.8
incidence_per_1000_uninfected,ERI,SEX_BTSX,2015,0.1,0.19,0.1
incidence_per_1000_uninfected,GMB,SEX_BTSX,1994,1.0,1.5,0.65
incidence_per_1000_uninfected,COG,SEX_BTSX,2010,1.7,2.1,1.4
incidence_per_1000_uninfected,CMR,SEX_MLE,1995,3.8,4.6,3.2
incidence_per_1000_uninfected,LSO,SEX_MLE,2004,14.9,17.9,12.9
incidence_per_1000_uninfected,LSO,SEX_FMLE,2018,5.8,7.4,4.7
incidence_per_1000_uninfected,CIV,SEX_MLE,2013,0.65,0.93,0.46
incidence_per_1000_uninfected,LBR,SEX_FMLE,1999,,,
incidence_per_1000_uninfected,BFA,SEX_MLE,2023,0.12,0.17,0.1
incidence_per_1000_uninfected,KEN,SEX_FMLE,2012,1.7,2.7,1.1
incidence_per_1000_uninfected,LBR,SEX_MLE,1991,,,
incidence_per_1000_uninfected,NER,SEX_BTSX,2007,0.18,0.22,0.16
incidence_per_1000_uninfected,MWI,SEX_MLE,2003,6.4,7.5,5.9
incidence_per_1000_uninfected,BWA,SEX_MLE,2020,2.3,2.6,1.9
incidence_per_1000_uninfected,TCD,SEX_FMLE,2013,0.58,0.77,0.44
incidence_per_1000_uninfected,SWZ,SEX_MLE,2017,6.2,7.4,5.3
incidence_per_1000_uninfected,LBR,SEX_BTSX,2014,,,
incidence_per_1000_uninfected,STP,SEX_MLE,2008,,,
incidence_per_1000_uninfected,TGO,SEX_BTSX,2004,1.7,2.1,1.4
incidence_per_1000_uninfected,CPV,SEX_MLE,2022,0.43,0.6,0.26
incidence_per_1000_uninfected,COD,SEX_FMLE,2014,0.46,0.59,0.35
incidence_per_1000_uninfected,SYC,SEX_MLE,2021,,,
incidence_per_1000_uninfected,SEN,SEX_MLE,2007,0.25,0.29,0.23
incidence_per_1000_uninfected,MUS,SEX_MLE,1993,,,
incidence_per_1000_uninfected,SWZ,SEX_MLE,2018,5.7,6.9,4.7
incidence_per_1000_uninfected,SLE,SEX_BTSX,1996,1.4,1.8,1.1
incidence_per_1000_uninfected,COD,SEX_MLE,1999,1.1,1.4,0.87
incidence_per_1000_uninfected,NAM,SEX_BTSX,2005,8.4,9.4,7.6
incidence_per_1000_uninfected,SWZ,SEX_MLE,1991,6.9,8.8,5.7
incidence_per_1000_uninfected,MOZ,SEX_FMLE,2000,10.4,11.9,9.3
incidence_per_1000_uninfected,NER,SEX_FMLE,2022,0.1,0.1,0.1
incidence_per_1000_uninfected,TGO,SEX_BTSX,2003,1.9,2.3,1.6
