measure,location,countryCode,sex,age,year,val
population,Afghanistan,AFG,female,15+,2024,12175534
population,Afghanistan,AFG,female,15+,2025,12578522
population,Afghanistan,AFG,female,15+,2026,12991376
population,Afghanistan,AFG,female,15+,2027,13414131
population,Afghanistan,AFG,female,15+,2028,13842490
population,Afghanistan,AFG,female,15+,2029,14295160
population,Afghanistan,AFG,female,15+,2030,14776797
population,Afghanistan,AFG,male,15+,2024,12181512
population,Afghanistan,AFG,male,15+,2025,12605131
population,Afghanistan,AFG,male,15+,2026,13038362
population,Afghanistan,AFG,male,15+,2027,13481104
population,Afghanistan,AFG,male,15+,2028,13928816
population,Afghanistan,AFG,male,15+,2029,14401478
population,Afghanistan,AFG,male,15+,2030,14904177
population,Albania,ALB,female,15+,2024,1186436
population,Albania,ALB,female,15+,2025,1181272
population,Albania,ALB,female,15+,2026,1176359
population,Albania,ALB,female,15+,2027,1172320
population,Albania,ALB,female,15+,2028,1169036
population,Albania,ALB,female,15+,2029,1165967
population,Albania,ALB,female,15+,2030,1162464
population,Albania,ALB,male,15+,2024,1135173
population,Albania,ALB,male,15+,2025,1129994
population,Albania,ALB,male,15+,2026,1125348
population,Albania,ALB,male,15+,2027,1121920
population,Albania,ALB,male,15+,2028,1119324
population,Albania,ALB,male,15+,2029,1117018
population,Albania,ALB,male,15+,2030,1114290
population,Algeria,DZA,female,15+,2024,15987151
population,Algeria,DZA,female,15+,2025,16296550
population,Algeria,DZA,female,15+,2026,16617579
population,Algeria,DZA,female,15+,2027,16954282
population,Algeria,DZA,female,15+,2028,17304772
population,Algeria,DZA,female,15+,2029,17665392
population,Algeria,DZA,female,15+,2030,18034490
population,Algeria,DZA,male,15+,2024,16628843
population,Algeria,DZA,male,15+,2025,16943508
population,Algeria,DZA,male,15+,2026,17269184
population,Algeria,DZA,male,15+,2027,17610240
population,Algeria,DZA,male,15+,2028,17964956
population,Algeria,DZA,male,15+,2029,18329360
population,Algeria,DZA,male,15+,2030,18701460
population,American Samoa,ASM,female,15+,2024,16893
population,American Samoa,ASM,female,15+,2025,16806
population,American Samoa,ASM,female,15+,2026,16728
population,American Samoa,ASM,female,15+,2027,16666
population,American Samoa,ASM,female,15+,2028,16628
population,American Samoa,ASM,female,15+,2029,16592
population,American Samoa,ASM,female,15+,2030,16566
population,American Samoa,ASM,male,15+,2024,17242
population,American Samoa,ASM,male,15+,2025,17095
population,American Samoa,ASM,male,15+,2026,16958
population,American Samoa,ASM,male,15+,2027,16840
population,American Samoa,ASM,male,15+,2028,16744
population,American Samoa,ASM,male,15+,2029,16651
population,American Samoa,ASM,male,15+,2030,16562
population,Andorra,AND,female,15+,2024,35302
population,Andorra,AND,female,15+,2025,35858
population,Andorra,AND,female,15+,2026,36353
population,Andorra,AND,female,15+,2027,36775
population,Andorra,AND,female,15+,2028,37086
population,Andorra,AND,female,15+,2029,37339
population,Andorra,AND,female,15+,2030,37571
population,Andorra,AND,male,15+,2024,36896
population,Andorra,AND,male,15+,2025,37414
population,Andorra,AND,male,15+,2026,37884
population,Andorra,AND,male,15+,2027,38274
population,Andorra,AND,male,15+,2028,38546
population,Andorra,AND,male,15+,2029,38752
population,Andorra,AND,male,15+,2030,38936
population,Angola,AGO,female,15+,2024,10782976
population,Angola,AGO,female,15+,2025,11159253
population,Angola,AGO,female,15+,2026,11548797
population,Angola,AGO,female,15+,2027,11952252
population,Angola,AGO,female,15+,2028,12370092
population,Angola,AGO,female,15+,2029,12799832
population,Angola,AGO,female,15+,2030,13240032
population,Angola,AGO,male,15+,2024,10300134
population,Angola,AGO,male,15+,2025,10664720
population,Angola,AGO,male,15+,2026,11042365
population,Angola,AGO,male,15+,2027,11433650
