country,country_code,dhs_phase,sex,year,n_sti_respondents,n_sought_treatment,pct_sought_treatment,pct_sought_treatment_wtd
Angola,AO,7,female,2015,324.0,134.0,41.4,48.7
Angola,AO,7,female,2016,220.0,74.0,33.6,42.2
Angola,AO,7,male,2015,117.0,64.0,54.7,61.4
Angola,AO,7,male,2016,101.0,49.0,48.5,65.4
Benin,BJ,4,female,2001,136.0,104.0,76.5,76.7
Benin,BJ,4,male,2001,87.0,68.0,78.2,77.9
Benin,BJ,5,female,2006,630.0,335.0,53.2,53.0
Benin,BJ,5,male,2006,87.0,73.0,83.9,83.0
Benin,BJ,6,female,2011,77.0,45.0,58.4,58.7
Benin,BJ,6,female,2012,500.0,231.0,46.2,47.3
Benin,BJ,6,male,2011,38.0,19.0,50.0,53.8
Benin,BJ,6,male,2012,321.0,138.0,43.0,43.0
Benin,BJ,7,female,2017,305.0,84.0,27.5,27.3
Benin,BJ,7,female,2018,317.0,92.0,29.0,27.2
Benin,BJ,7,male,2017,126.0,56.0,44.4,47.1
Benin,BJ,7,male,2018,76.0,36.0,47.4,46.0
Burkina Faso,BF,4,female,2003,487.0,338.0,69.4,68.6
Burkina Faso,BF,4,male,2003,66.0,36.0,54.5,41.4
Burkina Faso,BF,6,female,2010,855.0,359.0,42.0,39.6
Burkina Faso,BF,6,male,2010,46.0,26.0,56.5,55.0
Burundi,BU,6,female,2010,280.0,113.0,40.4,40.4
Burundi,BU,6,female,2011,15.0,8.0,53.3,54.4
Burundi,BU,6,male,2010,65.0,33.0,50.8,53.9
Burundi,BU,6,male,2011,8.0,5.0,62.5,58.3
Burundi,BU,7,female,2016,101.0,41.0,40.6,37.9
Burundi,BU,7,female,2017,56.0,23.0,41.1,37.1
Burundi,BU,7,male,2016,65.0,27.0,41.5,39.4
Burundi,BU,7,male,2017,59.0,25.0,42.4,39.3
Cameroon,CM,4,female,2004,812.0,527.0,64.9,65.2
Cameroon,CM,4,male,2004,276.0,239.0,86.6,86.2
