year,sex,val,lower,upper
2001,Male,0.2,0.2,0.2
2001,Female,0.2,0.2,0.2
2002,Male,0.4,0.4,0.4
2002,Female,0.5,0.5,0.5
2003,Male,0.6,0.5,0.6
2003,Female,0.8,0.7,0.8
2004,Male,0.8,0.8,0.8
2004,Female,1.1,1,1.1
2005,Male,1.8,1.8,1.9
2005,Female,2.6,2.5,2.7
2006,Male,3.5,3.4,3.6
2006,Female,4.8,4.7,5
2007,Male,5.8,5.7,6
2007,Female,8.1,7.8,8.3
2008,Male,9,8.7,9.2
2008,Female,12.1,11.8,12.5
2009,Male,12.5,12.2,12.8
2009,Female,16.6,16.2,17.1
2010,Male,17.1,16.7,17.6
2010,Female,22.3,21.8,22.9
2011,Male,22.7,22.2,23.2
2011,Female,28.9,28.3,29.6
2012,Male,30.3,29.7,31
2012,Female,38,37.3,38.8
2013,Male,35.5,34.7,36.3
2013,Female,43.5,42.8,44.4
2014,Male,39.8,38.9,40.8
2014,Female,47.9,47.2,48.9
2015,Male,44.4,43.3,45.5
2015,Female,53.1,52.2,54.2
2016,Male,48.8,47.5,50.1
2016,Female,58.3,57.3,59.5
2017,Male,54.7,53.1,56.2
2017,Female,65.3,63.9,66.7
2018,Male,59.1,57.1,60.9
2018,Female,70,68.3,71.7
2019,Male,62.6,60.1,64.8
2019,Female,73.3,71.3,75.6
2020,Male,65.4,62.5,68.1
2020,Female,75.8,73.2,78.7
2021,Male,67.5,64.1,70.7
2021,Female,77.5,74.3,81
2022,Male,69.3,65.2,73.2
2022,Female,78.9,75.2,83.2
2023,Male,70.8,66.1,75.4
2023,Female,80,75.5,85.1
