STI 1 (for those infected with),STI 2 (how many are coinfected w),Coinfection prevalence,Coinfection prevalence lower,Coinfection prevalence upper,N of STI 1,Overall prevalence of STI 2,Population
Gonorrhea,Chlamydia,22.9,7.8,37.9,66,2.7,"women, 15–24, Southern/Eastern Africa"
Syphilis,Chlamydia,12,0,31.5,17,2.7,"women, 15–24, Southern/Eastern Africa"
Trichomoniasis,Chlamydia,5.3,1,9.6,201,2.7,"women, 15–24, Southern/Eastern Africa"
Chlamydia,Gonorrhea,13.2,6.4,19.9,123,1.7,"women, 15–24, Southern/Eastern Africa"
Syphilis,Gonorrhea,0,0,23,17,1.7,"women, 15–24, Southern/Eastern Africa"
Trichomoniasis,Gonorrhea,4.8,1.4,8.2,202,1.7,"women, 15–24, Southern/Eastern Africa"
Chlamydia,Syphilis,6.5,0,18.4,28,1.1,"women, 15–24, Southern/Eastern Africa"
Gonorrhea,Syphilis,0,0,21.7,19,1.1,"women, 15–24, Southern/Eastern Africa"
Trichomoniasis,Syphilis,2.6,0,6.7,98,1.1,"women, 15–24, Southern/Eastern Africa"
Chlamydia,Trichomoniasis,10.3,4.2,16.5,123,6.7,"women, 15–24, Southern/Eastern Africa"
Gonorrhea,Trichomoniasis,17.3,7,27.6,66,6.7,"women, 15–24, Southern/Eastern Africa"
Syphilis,Trichomoniasis,12.4,0,31.5,17,6.7,"women, 15–24, Southern/Eastern Africa"
Gonorrhea,Chlamydia,9.8,0.5,19.2,77,1.2,"women, 25–49, Southern/Eastern Africa"
Syphilis,Chlamydia,0,0,13.8,31,1.2,"women, 25–49, Southern/Eastern Africa"
Trichomoniasis,Chlamydia,2.1,0.3,3.9,354,1.2,"women, 25–49, Southern/Eastern Africa"
Chlamydia,Gonorrhea,10,0.9,19.1,82,0.9,"women, 25–49, Southern/Eastern Africa"
Syphilis,Gonorrhea,2.4,0,16.1,31,0.9,"women, 25–49, Southern/Eastern Africa"
Trichomoniasis,Gonorrhea,2.2,0.3,4.1,354,0.9,"women, 25–49, Southern/Eastern Africa"
Chlamydia,Syphilis,0,0,17.2,27,0.9,"women, 25–49, Southern/Eastern Africa"
Gonorrhea,Syphilis,5.7,0,18.3,25,0.9,"women, 25–49, Southern/Eastern Africa"
Trichomoniasis,Syphilis,1.7,0,4,224,0.9,"women, 25–49, Southern/Eastern Africa"
Chlamydia,Trichomoniasis,5.4,0.2,10.5,82,5.8,"women, 25–49, Southern/Eastern Africa"
Gonorrhea,Trichomoniasis,10.1,2.4,17.9,77,5.8,"women, 25–49, Southern/Eastern Africa"
Syphilis,Trichomoniasis,13.1,0,26.1,32,5.8,"women, 25–49, Southern/Eastern Africa"
Gonorrhea,Chlamydia,38.7,28.6,48.9,316,15.1,"women, 15–24, South Africa"
Syphilis,Chlamydia,17.9,0,36.2,22,15.1,"women, 15–24, South Africa"
Trichomoniasis,Chlamydia,24.2,19.5,28.9,554,15.1,"women, 15–24, South Africa"
Chlamydia,Gonorrhea,11.4,7.2,15.6,1049,4.6,"women, 15–24, South Africa"
Syphilis,Gonorrhea,15.3,0,30.7,22,4.6,"women, 15–24, South Africa"
Trichomoniasis,Gonorrhea,9,6.6,11.4,552,4.6,"women, 15–24, South Africa"
Chlamydia,Syphilis,0.5,0,1,878,0.4,"women, 15–24, South Africa"
Gonorrhea,Syphilis,1.3,0,2.7,258,0.4,"women, 15–24, South Africa"
Trichomoniasis,Syphilis,0.9,0,1.8,499,0.4,"women, 15–24, South Africa"
Chlamydia,Trichomoniasis,12.2,9.7,14.7,1053,7.9,"women, 15–24, South Africa"
Gonorrhea,Trichomoniasis,16.2,12.1,20.3,313,7.9,"women, 15–24, South Africa"
Syphilis,Trichomoniasis,25.8,0.3,51.2,22,7.9,"women, 15–24, South Africa"
Gonorrhea,Chlamydia,32.4,0,69.9,398,7,"women, 25–49, South Africa"
Syphilis,Chlamydia,5.8,0,11.8,60,7,"women, 25–49, South Africa"
Trichomoniasis,Chlamydia,7.1,4.1,10.1,1403,7,"women, 25–49, South Africa"
Chlamydia,Gonorrhea,18.5,0,57.5,793,2.5,"women, 25–49, South Africa"
Syphilis,Gonorrhea,3.7,0,11.1,60,2.5,"women, 25–49, South Africa"
Trichomoniasis,Gonorrhea,4,1.4,6.5,1402,2.5,"women, 25–49, South Africa"
Chlamydia,Syphilis,0.6,0,1.2,475,1,"women, 25–49, South Africa"
Gonorrhea,Syphilis,1.1,0,3.4,153,1,"women, 25–49, South Africa"
Trichomoniasis,Syphilis,0.3,0,0.7,848,1,"women, 25–49, South Africa"
Chlamydia,Trichomoniasis,11,5,17.1,792,8.6,"women, 25–49, South Africa"
Gonorrhea,Trichomoniasis,15.3,11.7,18.9,396,8.6,"women, 25–49, South Africa"
Syphilis,Trichomoniasis,6.5,0,13.3,60,8.6,"women, 25–49, South Africa"
