country,metric,year,"98-98-99 treatment, 2024 prevention",95-95-95 treatment and prevention reaches 2030 target,"95-95-95 treatment, 2024 level of prevention",2024 level all HIV services,Historical trend,"2024 level treatment, reduced prevention"
Angola,new_infections,2020,25084.81197,,,,,
Angola,new_infections,2021,23901.89102,,,,,
Angola,new_infections,2022,22319.43336,,,,,
Angola,new_infections,2023,21446.5857,,,,,
Angola,new_infections,2024,20673.2312,,,,,
Angola,new_infections,2025,20584.215248226952,20582.586170212766,20582.586170212766,20582.586170212766,20582.586170212766,20582.586170212766
Angola,new_infections,2026,19533.459929078013,15592.720212765958,18345.86205673759,20981.710283687946,21612.163475177305,
Angola,new_infections,2027,16781.947163120567,11184.43510638298,14422.227659574468,21340.10744680851,22364.797517730498,
Angola,new_infections,2028,13637.826595744682,8275.716312056738,11401.102482269504,21682.213829787233,23130.464184397166,
Angola,new_infections,2029,10108.429078014186,5620.319148936171,8132.357446808511,22003.956737588655,23905.090780141843,
Angola,new_infections,2030,5898.891489361702,4316.242198581561,6188.052836879433,22294.74716312057,24153.525177304964,
Angola,aids_deaths,2020,17237.88525,,,,,
Angola,aids_deaths,2021,16022.08887,,,,,
Angola,aids_deaths,2022,15031.55713,,,,,
Angola,aids_deaths,2023,14180.17139,,,,,
Angola,aids_deaths,2024,13458.25146,,,,,
Angola,aids_deaths,2025,13572.258985955725,13569.055462985003,13569.055462985003,13569.055462985003,13569.055462985003,13569.055462985003
Angola,aids_deaths,2026,12316.477981432992,11220.873125446322,11469.680076172339,14317.611997143536,14436.142347060222,
Angola,aids_deaths,2027,9888.207569626278,7950.076172339919,8410.31563913354,15028.794096643656,15195.377291121162,
Angola,aids_deaths,2028,7646.80933111164,5959.6205665317775,6335.500595096405,15550.96834087122,15753.8581290169,
Angola,aids_deaths,2029,6002.334206141395,4898.186622232802,5181.164484646512,15952.476553201617,16188.469412044751,
Angola,aids_deaths,2030,5081.855272554153,4026.8283741966197,4302.331349678648,16284.575101166389,16493.87193525351,
Benin,new_infections,2020,1903.46379,,,,,
Benin,new_infections,2021,1816.81183,,,,,
Benin,new_infections,2022,1780.52263,,,,,
Benin,new_infections,2023,1526.30935,,,,,
Benin,new_infections,2024,1384.28015,,,,,
Benin,new_infections,2025,1180.8221070811744,1180.8221070811744,1180.8221070811744,1180.8221070811744,1180.8221070811744,1180.8221070811744
Benin,new_infections,2026,1078.0379965457685,864.1036269430051,1040.9879101899826,1149.747841105354,1184.4075993091537,
Benin,new_infections,2027,931.0328151986183,683.6338514680483,890.3972366148531,1129.4300518134714,1183.2124352331605,
Benin,new_infections,2028,775.6614853195164,549.7754749568221,766.1001727115716,1103.1364421416235,1176.041450777202,
Benin,new_infections,2029,616.7046632124352,438.6252158894646,642.9982728842832,1073.257340241796,1164.089810017271,
Benin,new_infections,2030,426.6735751295337,384.8428324697755,565.3126079447322,1036.2072538860102,1125.844559585492,
Benin,aids_deaths,2020,1591.13507,,,,,
Benin,aids_deaths,2021,1533.58704,,,,,
Benin,aids_deaths,2022,1514.09283,,,,,
Benin,aids_deaths,2023,1353.13092,,,,,
Benin,aids_deaths,2024,1299.42749,,,,,
Benin,aids_deaths,2025,1197.4926387315968,1197.4926387315968,1197.4926387315968,1197.4926387315968,1197.4926387315968,1197.4926387315968
Benin,aids_deaths,2026,1090.1007927519818,1066.5628539071347,1090.1007927519818,1101.8697621744054,1101.8697621744054,
Benin,aids_deaths,2027,1006.246885617214,957.6998867497168,990.0645526613816,1062.149490373726,1063.6206115515288,
Benin,aids_deaths,2028,887.0860702151755,842.9524348810872,872.374858437146,1025.3714609286524,1028.3137032842583,
