year,Ciprofloxacin,Cefixime,Azithromycin,region,Ciprofloxacin_lower,Cefixime_lower,Azithromycin_lower,Ciprofloxacin_upper,Cefixime_upper,Azithromycin_upper
2007,0.32572132563869255,,,Western,0.3244335714478799,,,0.3277334415618374,,
2008,0.29669141884452294,,,Western,0.29551843572084807,,,0.298524204975265,,
2009,0.3354620458869258,0.0,,Western,0.33413578131213195,0.0,,0.33753433428504126,0.0,
2010,0.3706174911660777,0.0,,Western,0.3691522379269729,0.0,,0.372906949352179,0.0,
2011,0.4095748212385159,0.0,0.07376598939929328,Western,0.4079555484093051,0.0,0.07347435217903416,0.41210493503415785,0.0,0.07422167255594816
2012,0.5380465800238515,0.061239216036130736,0.08163118374558302,Western,0.5359193882075972,0.06099710398854535,0.08130845111896348,0.5413703172367491,0.06161751611048292,0.08213545347467607
2013,0.5863015910971731,0.0,0.11190026501766784,Western,0.5839836208828033,0.0,0.11145786219081273,0.5899234195571259,0.0,0.11259151943462897
2014,0.7201243359452296,0.0,0.028570557397968196,Western,0.7172772913751473,0.0,0.028457602389723204,0.7245728430859835,0.0,0.028747049598351
2015,0.819293831748233,0.0,0.03135269019019434,Western,0.8160547160309186,0.0,0.031228735892432274,0.8243549500565369,0.0,0.03154636878044758
2016,0.8835857834222614,0.0,0.00621035948171378,Western,0.8800924865270907,0.0,0.006185806540842167,0.8890440598209658,0.0,0.006248723451825677
2017,,0.0,0.0314252849806537,Western,,0.0,0.03130104367606007,,0.0,0.03161941201908127
2007,0.27332582699999997,,,Southern,0.26938207979063605,,,0.27855732840017666,,
2008,0.24896566799999997,,,Southern,0.24537340718374556,,,0.2537309119399293,,
2009,0.281499656,0.0,,Southern,0.2774379707396938,0.0,,0.28688760583510015,0.0,
2010,0.31099999999999994,0.0,,Southern,0.3065126619552414,0.0,,0.3169525912838633,0.0,
2011,0.343690658,0.0,0.0619,Southern,0.3387316349605418,0.0,0.061006861012956416,0.350268953868669,0.0,0.06308477620730271
2012,0.45149646299999996,0.051388282099999995,0.06849999999999998,Southern,0.4449819380627208,0.050646813954269725,0.06751163133097761,0.46013817975353355,0.05237186229331566,0.06981110129564191
2013,0.4919891779999999,0.0,0.0939,Southern,0.4848903942184923,0.0,0.09254514134275618,0.5014059319958775,0.0,0.09569726148409895
2014,0.6042852099999999,0.0,0.023974700499999998,Southern,0.5955661360041224,0.0,0.023628775787249704,0.6158513285659599,0.0,0.024433580220995288
2015,0.6875023109999998,0.0,0.026309299699999997,Southern,0.6775825191157242,0.0,0.025929689663103647,0.7006612186015899,0.0,0.02681286403465842
2016,0.7414522659999999,0.0,0.005211361699999999,Southern,0.7307540442585394,0.0,0.005136168318580683,0.7556437846366313,0.0,0.0053111080222909305
2017,,0.0,0.026370216899999997,Southern,,0.0,0.025989727904681976,,0.0,0.02687494719991166
2007,0.34205970693462895,,,Eastern,0.3407719527438163,,,0.3447156999531802,,
2008,0.31157364222614836,,,Eastern,0.3104006591024735,,,0.3139929199187279,,
2009,0.35228902767962306,0.0,,Eastern,0.35096276310482927,0.0,,0.35502444836513547,0.0,
2010,0.3892078916372202,0.0,,Eastern,0.3877426383981154,0.0,,0.39222997644287394,0.0,
2011,0.43011934525912837,0.0,0.07746613663133096,Eastern,0.4285000724299176,0.0,0.07717449941107185,0.4334590954693757,0.0,0.07806763839811542
2012,0.5650353261925795,0.06431101263987042,0.08572585394581858,Eastern,0.5629081343763251,0.06406890059228504,0.08540312131919904,0.5694226593136041,0.06481036873801531,0.08639148998822142
2013,0.6157108381919905,0.0,0.11751325088339222,Eastern,0.6133928679776207,0.0,0.11707084805653711,0.6204916517591282,0.0,0.11842570671378091
2014,0.7562462139281506,0.0,0.030003674065076556,Eastern,0.7533991693580683,0.0,0.029890719056831567,0.7621182433539457,0.0,0.03023664376958186
2015,0.8603901124116605,0.0,0.032925360343050644,Eastern,0.8571509966943461,0.0,0.03280140604528858,0.8670707885786217,0.0,0.03318101608218492
2016,0.9279069877797408,0.0,0.006521874919022379,Eastern,0.9244136908845701,0.0,0.006497321978150766,0.9351119126260306,0.0,0.006572515359570082
2017,,0.0,0.03300159653268551,Eastern,,0.0,0.03287735522809187,,0.0,0.03325784422340989
2007,0.28048895968639576,,,Central,0.2759013353816254,,,0.2836278605265018,,
2008,0.2554903866254417,,,Central,0.2513116342473498,,,0.25834953298939933,,
2009,0.28887700269729094,0.0,,Central,0.28415218514958773,0.0,,0.2921097725983511,0.0,
2010,0.3191504711425206,0.0,,Central,0.3139305064782096,0.0,,0.32272202591283866,0.0,
2011,0.3526978631124853,0.0,0.0635222320376914,Central,0.34692920365842167,0.0,0.06248327444051825,0.35664484063368673,0.0,0.06423309776207303
2012,0.4633289674779152,0.05273503036469376,0.07029520023557125,Central,0.45575084663250875,0.05187250619517078,0.06914546525323909,0.46851399753003536,0.05332517848068316,0.07108186101295641
2013,0.5048828873174322,0.0,0.09636086572438163,Central,0.4966251184287396,0.0,0.09478480565371024,0.5105329397149587,0.0,0.097439222614841
2014,0.6201218954210836,0.0,0.02460301273336278,Central,0.6099792991401648,0.0,0.024200610516489987,0.6270615665606597,0.0,0.024878340565959955
2015,0.7055198921775617,0.0,0.02699879548130153,Central,0.6939805424346288,0.0,0.026557208295524142,0.7134152367385158,0.0,0.027300934082096585
2016,0.7608837299793875,0.0,0.005347937433598351,Central,0.7484388597903415,0.0,0.005260467581743227,0.7693986411613664,0.0,0.005407785226972909
2017,,0.0,0.02706130915680212,Central,,0.0,0.026618699509187275,,0.0,0.027364147336749117
